store_name,yearlysales,year
Hy-Vee Wine and Spirits / Iowa City,4155665.47,2015
Liquor Downtown / Iowa City,882003.77,2015
John's Grocery,777551.65,2015
Hy-Vee Food Store / Iowa City,750013.2,2015
Hy-Vee Food Store #2 / Iowa City,650767.64,2015
Wal-Mart 1721 / Iowa City,569043.86,2015
Hy-Vee Drugstore / Iowa City,515620.57,2015
THE LIQUOR HOUSE,412082.41,2015
Southside Liquor & Tobacco / Iowa Ci,370837.8,2015
Hartig Drug Store #10,200087.67,2015
Smokin' Joe's #18 Tobacco and Liquor,167885.78,2015
Sauce,162821.99,2015
Fareway Stores #950 / Iowa City,95526.36,2015
Kum & Go #51 / Iowa City,92133.36,2015
CVS Pharmacy #8547 / Iowa City,83704.3,2015
Fareway Stores #034 / Iowa City,81484.56,2015
KUM & GO #422 / IOWA CITY,72044.87,2015
Kum & Go #52 / Iowa City,71522.11,2015
New Pioneer Food Co-op / Iowa City,67445.08,2015
L&M Mighty Shop,62234.82,2015
Kum & Go #53 / Iowa City,59992.64,2015
Walgreens #05077 / Iowa City,26273.55,2015
Iowa City Fast Break,23965.34,2015
Creekside Market,22453.49,2015
Casey's General Store #3322 / Iowa C,13997.71,2015
Cork & Bottle / Iowa City,3694.38,2015
Hy-Vee Wine and Spirits / Iowa City,3866876.85,2014
Liquor Downtown / Iowa City,1442306.42,2014
Hy-Vee Food Store #2 / Iowa City,668442.54,2014
Wal-Mart 1721 / Iowa City,666364.48,2014
John's Grocery,530344.91,2014
Hy-Vee Food Store / Iowa City,492187.75,2014
Hy-Vee Drugstore / Iowa City,465749.19,2014
Southside Liquor & Tobacco / Iowa Ci,284328.34,2014
Sauce,263911.97,2014
THE LIQUOR HOUSE,241731.12,2014
Hartig Drug Store #10,210491.96,2014
Smokin' Joe's #18 Tobacco and Liquor,146175.54,2014
CVS Pharmacy #8547 / Iowa City,119088.95,2014
Fareway Stores #950 / Iowa City,84342.32,2014
Fareway Stores #034 / Iowa City,84024.1,2014
Kum & Go #51 / Iowa City,78327.53,2014
KUM & GO #422 / IOWA CITY,71000.2,2014
Kum & Go #53 / Iowa City,62718.94,2014
Kum & Go #52 / Iowa City,56156.77,2014
New Pioneer Food Co-op / Iowa City,43317.55,2014
Walgreens #05077 / Iowa City,31495.44,2014
Iowa City Fast Break,20175.83,2014
L&M Mighty Shop,9232.77,2014
Casey's General Store #3322 / Iowa C,8042.64,2014
Cork & Bottle / Iowa City,2747.23,2014
Hy-Vee Wine and Spirits / Iowa City,3481456.72,2013
Liquor Downtown / Iowa City,1266396.36,2013
Hy-Vee Food Store #2 / Iowa City,631303.11,2013
John's Grocery,520196.94,2013
Wal-Mart 1721 / Iowa City,516557.04,2013
Sauce,497118.74,2013
Hy-Vee Food Store / Iowa City,458152.46,2013
Hy-Vee Drugstore / Iowa City,436712.13,2013
THE LIQUOR HOUSE,264008.29,2013
Southside Liquor & Tobacco / Iowa Ci,254633.61,2013
Hartig Drug Store #10,247098.62,2013
CVS Pharmacy #8547 / Iowa City,133534.14,2013
Smokin' Joe's #18 Tobacco and Liquor,133005.72,2013
Fareway Stores #950 / Iowa City,90454.9,2013
Kum & Go #53 / Iowa City,73433,2013
Fareway Stores #034 / Iowa City,73063,2013
KUM & GO #422 / IOWA CITY,64692.59,2013
Kum & Go #51 / Iowa City,63279.34,2013
Kum & Go #52 / Iowa City,34461.96,2013
Walgreens #05077 / Iowa City,27050.28,2013
Iowa City Fast Break,18754.58,2013
Hy-Vee Wine and Spirits / Iowa City,3388919.89,2012
Liquor Downtown / Iowa City,1315805,2012
Hy-Vee Food Store #2 / Iowa City,668864.37,2012
Sauce,658859.73,2012
John's Grocery,531126.22,2012
Hy-Vee Food Store / Iowa City,494624.27,2012
Wal-Mart 1721 / Iowa City,460617.72,2012
Hy-Vee Drugstore / Iowa City,447747.21,2012
THE LIQUOR HOUSE,295365.43,2012
Hartig Drug Store #10,273602.39,2012
Smokin' Joe's #18 Tobacco and Liquor,177930.53,2012
CVS Pharmacy #8547 / Iowa City,163766.61,2012
Fareway Stores #950 / Iowa City,107709.01,2012
Southside Liquor & Tobacco / Iowa Ci,94690.2,2012
Fareway Stores #034 / Iowa City,92918.69,2012
KUM & GO #422 / IOWA CITY,74673.22,2012
Kum & Go #53 / Iowa City,74543.04,2012
Walgreens #05077 / Iowa City,16395.72,2012
Kum & Go #51 / Iowa City,15437.37,2012
Kum & Go #52 / Iowa City,13751.54,2012
Iowa City Fast Break,3118.05,2012